loadingOrder,trace,trace1,trace2,CNSHK-GRPIR,CNYTN-MATNG,CNSHA-PAMIT,CNSHK-ESALG,CNYTN-MXZLO,COBUN-HKHKG,CNSHA-SGSIN,CNYTN-MTMLA,CNSHK-PKQCT,CNHKG-MXZLO,CNYTN-ARENA,CNSHK-ZADUR,CNSHK-SIKOP,CNYTN-NZAKL,CNYTN-RTM,CNSHK-CLVAP,CNSHK-LBBEY,CNYTN-PAONX,CNSHK-MYTPP,CNSHK-SGSIN,CNYTN-CAVAN,HKHKG-FRFOS
VV205638934939,CNSHK-TGLFW-NGTIN,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LJ969838486912,CNYTN-DEHAM,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GD608651153121,CNNSA-CIABJ-FALADIE,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BS916375459678,CNYTN-MXZLO,0,0,0.0,0.0,0,0,2082608.0000000002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ZE638181138796,CNYTN-GBSOU,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SB753421703648,CNNSA-KEMBA-KAMPALA,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
RM476558900490,CNYTN-MYTPP-NLRTM,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JR333632939878,DAR ES SALAAM_TANZANIA,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MY579868587070,CNSHK-THLCH,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
YT520890791793,CNYTN-PHCEB,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
YR410684362015,HKHKG-CNNSA-GHTEM,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
IO757912202150,CNYTN-PECLL,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
PY457460039500,CNYTN-LBBEY-TRMER-ZAKHO_IRAQ,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MS111323254516,CNYTN-PAMAN-BRMAN,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
OY711538887806,CNYTN-PECLL,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
